member #,member name,submission #,bid
9,Colton Stone,907,yes
10,Melissa Matthews,142,maybe
10,Melissa Matthews,197,yes
10,Melissa Matthews,247,yes
10,Melissa Matthews,282,yes
10,Melissa Matthews,475,maybe
10,Melissa Matthews,578,maybe
10,Melissa Matthews,594,maybe
10,Melissa Matthews,612,maybe
10,Melissa Matthews,636,yes
10,Melissa Matthews,692,yes
10,Melissa Matthews,744,yes
10,Melissa Matthews,751,maybe
10,Melissa Matthews,782,maybe
10,Melissa Matthews,884,maybe
10,Melissa Matthews,906,maybe
10,Melissa Matthews,988,yes
10,Melissa Matthews,996,yes
11,Mark Garcia,40,yes
11,Mark Garcia,62,yes
11,Mark Garcia,122,maybe
11,Mark Garcia,174,yes
11,Mark Garcia,193,maybe
11,Mark Garcia,256,yes
11,Mark Garcia,349,maybe
11,Mark Garcia,354,maybe
11,Mark Garcia,488,yes
11,Mark Garcia,566,maybe
11,Mark Garcia,571,maybe
11,Mark Garcia,628,yes
11,Mark Garcia,639,yes
11,Mark Garcia,686,maybe
11,Mark Garcia,700,yes
11,Mark Garcia,745,yes
11,Mark Garcia,782,yes
11,Mark Garcia,854,maybe
11,Mark Garcia,937,maybe
12,Susan Wilson,237,maybe
12,Susan Wilson,240,yes
12,Susan Wilson,253,maybe
12,Susan Wilson,272,yes
12,Susan Wilson,316,yes
12,Susan Wilson,317,yes
12,Susan Wilson,324,maybe
12,Susan Wilson,345,maybe
12,Susan Wilson,352,yes
12,Susan Wilson,413,yes
12,Susan Wilson,529,yes
12,Susan Wilson,594,yes
12,Susan Wilson,730,yes
12,Susan Wilson,767,maybe
12,Susan Wilson,796,maybe
12,Susan Wilson,802,maybe
12,Susan Wilson,840,maybe
12,Susan Wilson,843,maybe
12,Susan Wilson,910,maybe
12,Susan Wilson,927,maybe
12,Susan Wilson,946,maybe
12,Susan Wilson,952,maybe
12,Susan Wilson,999,yes
13,Cory Ware,6,yes
13,Cory Ware,42,maybe
13,Cory Ware,55,maybe
13,Cory Ware,74,maybe
13,Cory Ware,75,yes
13,Cory Ware,101,maybe
13,Cory Ware,159,maybe
13,Cory Ware,179,yes
13,Cory Ware,199,maybe
13,Cory Ware,216,yes
13,Cory Ware,230,yes
13,Cory Ware,249,yes
13,Cory Ware,312,maybe
13,Cory Ware,359,yes
13,Cory Ware,440,yes
13,Cory Ware,490,yes
13,Cory Ware,525,yes
13,Cory Ware,595,yes
13,Cory Ware,708,maybe
13,Cory Ware,781,maybe
13,Cory Ware,794,yes
13,Cory Ware,802,maybe
13,Cory Ware,822,yes
13,Cory Ware,823,maybe
13,Cory Ware,832,maybe
13,Cory Ware,846,yes
13,Cory Ware,898,maybe
13,Cory Ware,918,maybe
13,Cory Ware,937,yes
13,Cory Ware,980,maybe
13,Cory Ware,986,maybe
13,Cory Ware,987,yes
14,Brandon Reynolds,49,yes
14,Brandon Reynolds,105,maybe
14,Brandon Reynolds,210,maybe
14,Brandon Reynolds,264,yes
14,Brandon Reynolds,295,yes
14,Brandon Reynolds,332,maybe
14,Brandon Reynolds,367,yes
14,Brandon Reynolds,374,yes
14,Brandon Reynolds,521,maybe
14,Brandon Reynolds,571,yes
14,Brandon Reynolds,584,yes
14,Brandon Reynolds,604,maybe
14,Brandon Reynolds,675,maybe
14,Brandon Reynolds,767,yes
14,Brandon Reynolds,851,maybe
14,Brandon Reynolds,866,yes
14,Brandon Reynolds,883,maybe
14,Brandon Reynolds,923,yes
14,Brandon Reynolds,942,maybe
14,Brandon Reynolds,970,yes
15,Timothy Edwards,35,yes
15,Timothy Edwards,46,yes
15,Timothy Edwards,121,yes
15,Timothy Edwards,201,maybe
15,Timothy Edwards,231,maybe
15,Timothy Edwards,244,yes
15,Timothy Edwards,245,maybe
15,Timothy Edwards,418,maybe
15,Timothy Edwards,515,yes
15,Timothy Edwards,554,maybe
15,Timothy Edwards,564,yes
15,Timothy Edwards,632,maybe
15,Timothy Edwards,635,yes
15,Timothy Edwards,814,yes
15,Timothy Edwards,910,yes
16,Clifford Medina,55,yes
16,Clifford Medina,62,maybe
16,Clifford Medina,73,maybe
16,Clifford Medina,89,maybe
16,Clifford Medina,180,maybe
16,Clifford Medina,215,maybe
16,Clifford Medina,273,maybe
16,Clifford Medina,288,yes
16,Clifford Medina,292,yes
16,Clifford Medina,293,maybe
16,Clifford Medina,463,maybe
16,Clifford Medina,486,maybe
16,Clifford Medina,524,yes
16,Clifford Medina,604,yes
16,Clifford Medina,693,maybe
16,Clifford Medina,731,maybe
16,Clifford Medina,751,yes
16,Clifford Medina,790,yes
16,Clifford Medina,821,maybe
16,Clifford Medina,993,yes
17,William Gibson,125,maybe
17,William Gibson,141,yes
17,William Gibson,149,maybe
17,William Gibson,193,maybe
17,William Gibson,207,yes
17,William Gibson,252,maybe
17,William Gibson,298,yes
17,William Gibson,444,yes
17,William Gibson,478,yes
17,William Gibson,675,yes
17,William Gibson,865,yes
17,William Gibson,945,yes
18,Maria Caldwell,12,maybe
18,Maria Caldwell,34,yes
18,Maria Caldwell,67,maybe
18,Maria Caldwell,105,yes
18,Maria Caldwell,118,maybe
18,Maria Caldwell,163,yes
18,Maria Caldwell,199,yes
18,Maria Caldwell,289,maybe
18,Maria Caldwell,369,yes
18,Maria Caldwell,395,maybe
18,Maria Caldwell,454,yes
18,Maria Caldwell,550,maybe
18,Maria Caldwell,606,maybe
18,Maria Caldwell,667,maybe
18,Maria Caldwell,715,yes
18,Maria Caldwell,736,maybe
18,Maria Caldwell,782,maybe
18,Maria Caldwell,946,yes
18,Maria Caldwell,966,yes
19,Robin Werner,28,maybe
19,Robin Werner,37,yes
19,Robin Werner,45,yes
19,Robin Werner,50,maybe
19,Robin Werner,97,yes
19,Robin Werner,111,maybe
19,Robin Werner,141,maybe
19,Robin Werner,150,yes
19,Robin Werner,285,maybe
19,Robin Werner,344,yes
19,Robin Werner,355,maybe
19,Robin Werner,392,maybe
19,Robin Werner,411,yes
19,Robin Werner,446,maybe
19,Robin Werner,467,maybe
19,Robin Werner,491,yes
19,Robin Werner,492,yes
19,Robin Werner,538,maybe
19,Robin Werner,616,yes
19,Robin Werner,657,maybe
19,Robin Werner,672,yes
19,Robin Werner,747,maybe
19,Robin Werner,758,maybe
19,Robin Werner,802,maybe
19,Robin Werner,815,maybe
19,Robin Werner,823,yes
19,Robin Werner,917,yes
19,Robin Werner,963,maybe
20,Tara Salazar,41,maybe
20,Tara Salazar,68,maybe
20,Tara Salazar,186,maybe
20,Tara Salazar,224,yes
20,Tara Salazar,283,maybe
20,Tara Salazar,291,maybe
20,Tara Salazar,300,yes
20,Tara Salazar,358,maybe
20,Tara Salazar,369,yes
20,Tara Salazar,371,yes
20,Tara Salazar,422,maybe
20,Tara Salazar,451,yes
20,Tara Salazar,475,maybe
20,Tara Salazar,533,maybe
20,Tara Salazar,574,yes
20,Tara Salazar,660,yes
20,Tara Salazar,759,maybe
20,Tara Salazar,823,yes
20,Tara Salazar,962,maybe
20,Tara Salazar,999,yes
21,Mr. Colin,166,maybe
21,Mr. Colin,243,maybe
21,Mr. Colin,257,yes
21,Mr. Colin,311,yes
21,Mr. Colin,339,yes
21,Mr. Colin,428,yes
21,Mr. Colin,489,yes
21,Mr. Colin,550,yes
21,Mr. Colin,594,yes
21,Mr. Colin,634,yes
21,Mr. Colin,762,yes
21,Mr. Colin,794,yes
21,Mr. Colin,806,yes
21,Mr. Colin,869,yes
21,Mr. Colin,904,yes
21,Mr. Colin,930,yes
21,Mr. Colin,942,maybe
21,Mr. Colin,949,maybe
21,Mr. Colin,962,maybe
21,Mr. Colin,979,maybe
22,Michael Smith,16,maybe
22,Michael Smith,58,yes
22,Michael Smith,175,yes
22,Michael Smith,191,maybe
22,Michael Smith,237,yes
22,Michael Smith,241,yes
22,Michael Smith,277,yes
22,Michael Smith,288,maybe
22,Michael Smith,334,yes
22,Michael Smith,380,maybe
22,Michael Smith,382,yes
22,Michael Smith,405,yes
22,Michael Smith,427,maybe
22,Michael Smith,437,yes
22,Michael Smith,439,maybe
22,Michael Smith,463,maybe
22,Michael Smith,525,maybe
22,Michael Smith,539,yes
22,Michael Smith,649,maybe
22,Michael Smith,744,maybe
22,Michael Smith,834,yes
22,Michael Smith,837,yes
22,Michael Smith,941,maybe
22,Michael Smith,955,yes
23,Tiffany Haney,57,maybe
23,Tiffany Haney,109,maybe
23,Tiffany Haney,135,yes
23,Tiffany Haney,139,yes
23,Tiffany Haney,275,yes
23,Tiffany Haney,279,maybe
23,Tiffany Haney,364,maybe
23,Tiffany Haney,529,yes
23,Tiffany Haney,576,yes
23,Tiffany Haney,644,maybe
23,Tiffany Haney,736,yes
23,Tiffany Haney,739,yes
23,Tiffany Haney,745,maybe
23,Tiffany Haney,834,yes
23,Tiffany Haney,863,maybe
24,Christopher Hughes,6,maybe
24,Christopher Hughes,38,maybe
24,Christopher Hughes,90,yes
24,Christopher Hughes,95,yes
24,Christopher Hughes,282,maybe
24,Christopher Hughes,290,maybe
24,Christopher Hughes,300,maybe
24,Christopher Hughes,504,yes
24,Christopher Hughes,541,yes
24,Christopher Hughes,546,yes
24,Christopher Hughes,581,yes
24,Christopher Hughes,611,yes
24,Christopher Hughes,664,yes
24,Christopher Hughes,671,maybe
24,Christopher Hughes,695,yes
24,Christopher Hughes,719,yes
24,Christopher Hughes,757,maybe
24,Christopher Hughes,759,yes
24,Christopher Hughes,764,maybe
24,Christopher Hughes,809,yes
25,Mrs. Elizabeth,89,yes
25,Mrs. Elizabeth,108,yes
25,Mrs. Elizabeth,122,maybe
25,Mrs. Elizabeth,163,maybe
25,Mrs. Elizabeth,177,yes
25,Mrs. Elizabeth,210,maybe
25,Mrs. Elizabeth,256,maybe
25,Mrs. Elizabeth,267,maybe
25,Mrs. Elizabeth,282,yes
25,Mrs. Elizabeth,400,yes
25,Mrs. Elizabeth,437,yes
25,Mrs. Elizabeth,513,maybe
25,Mrs. Elizabeth,541,maybe
25,Mrs. Elizabeth,543,yes
25,Mrs. Elizabeth,593,yes
25,Mrs. Elizabeth,595,yes
25,Mrs. Elizabeth,643,yes
25,Mrs. Elizabeth,694,maybe
25,Mrs. Elizabeth,810,yes
25,Mrs. Elizabeth,846,maybe
25,Mrs. Elizabeth,921,maybe
25,Mrs. Elizabeth,960,yes
25,Mrs. Elizabeth,986,maybe
26,Michael Pham,26,yes
26,Michael Pham,53,maybe
26,Michael Pham,90,yes
26,Michael Pham,108,maybe
26,Michael Pham,113,maybe
26,Michael Pham,228,yes
26,Michael Pham,371,maybe
26,Michael Pham,392,yes
26,Michael Pham,406,yes
26,Michael Pham,455,yes
26,Michael Pham,492,maybe
26,Michael Pham,505,yes
26,Michael Pham,520,yes
26,Michael Pham,556,yes
26,Michael Pham,693,maybe
26,Michael Pham,697,yes
26,Michael Pham,767,maybe
26,Michael Pham,791,yes
26,Michael Pham,923,yes
27,Jacqueline Green,8,maybe
27,Jacqueline Green,13,maybe
27,Jacqueline Green,40,maybe
27,Jacqueline Green,123,yes
27,Jacqueline Green,137,maybe
27,Jacqueline Green,361,maybe
27,Jacqueline Green,399,maybe
27,Jacqueline Green,461,yes
27,Jacqueline Green,563,yes
27,Jacqueline Green,570,maybe
27,Jacqueline Green,579,yes
27,Jacqueline Green,622,yes
27,Jacqueline Green,625,yes
27,Jacqueline Green,643,yes
27,Jacqueline Green,698,yes
27,Jacqueline Green,751,yes
27,Jacqueline Green,885,maybe
27,Jacqueline Green,920,maybe
27,Jacqueline Green,922,maybe
27,Jacqueline Green,929,yes
27,Jacqueline Green,985,yes
28,Steven Hudson,3,maybe
28,Steven Hudson,62,maybe
28,Steven Hudson,63,yes
28,Steven Hudson,78,yes
28,Steven Hudson,104,yes
28,Steven Hudson,130,maybe
28,Steven Hudson,143,maybe
28,Steven Hudson,200,yes
28,Steven Hudson,210,yes
28,Steven Hudson,217,yes
28,Steven Hudson,273,maybe
28,Steven Hudson,352,maybe
28,Steven Hudson,399,maybe
28,Steven Hudson,482,maybe
28,Steven Hudson,528,maybe
28,Steven Hudson,561,yes
28,Steven Hudson,638,maybe
28,Steven Hudson,643,maybe
28,Steven Hudson,658,maybe
28,Steven Hudson,788,maybe
28,Steven Hudson,826,maybe
28,Steven Hudson,875,maybe
28,Steven Hudson,925,yes
28,Steven Hudson,948,yes
29,Erica Smith,2,maybe
29,Erica Smith,8,yes
29,Erica Smith,51,maybe
29,Erica Smith,84,maybe
29,Erica Smith,124,maybe
29,Erica Smith,132,maybe
29,Erica Smith,168,maybe
29,Erica Smith,178,maybe
29,Erica Smith,311,maybe
29,Erica Smith,396,yes
29,Erica Smith,416,yes
29,Erica Smith,444,yes
29,Erica Smith,475,maybe
29,Erica Smith,501,maybe
29,Erica Smith,576,yes
29,Erica Smith,584,maybe
29,Erica Smith,653,yes
29,Erica Smith,712,yes
29,Erica Smith,757,yes
29,Erica Smith,966,yes
29,Erica Smith,983,maybe
30,Raymond Clark,23,yes
30,Raymond Clark,25,maybe
30,Raymond Clark,46,yes
30,Raymond Clark,207,maybe
30,Raymond Clark,422,yes
30,Raymond Clark,475,yes
30,Raymond Clark,526,yes
30,Raymond Clark,569,yes
30,Raymond Clark,608,maybe
30,Raymond Clark,710,maybe
30,Raymond Clark,724,maybe
30,Raymond Clark,768,maybe
30,Raymond Clark,836,yes
30,Raymond Clark,837,maybe
30,Raymond Clark,877,maybe
30,Raymond Clark,878,maybe
30,Raymond Clark,906,maybe
30,Raymond Clark,947,maybe
30,Raymond Clark,975,yes
31,Daniel Williams,59,maybe
31,Daniel Williams,155,yes
31,Daniel Williams,164,maybe
31,Daniel Williams,201,yes
31,Daniel Williams,268,yes
31,Daniel Williams,328,yes
31,Daniel Williams,334,yes
31,Daniel Williams,337,maybe
31,Daniel Williams,361,yes
31,Daniel Williams,372,maybe
31,Daniel Williams,438,maybe
31,Daniel Williams,480,maybe
31,Daniel Williams,583,maybe
31,Daniel Williams,603,yes
31,Daniel Williams,633,yes
31,Daniel Williams,739,yes
31,Daniel Williams,753,yes
31,Daniel Williams,773,maybe
31,Daniel Williams,778,maybe
31,Daniel Williams,793,yes
31,Daniel Williams,835,maybe
31,Daniel Williams,860,maybe
31,Daniel Williams,920,maybe
31,Daniel Williams,944,yes
32,Kathy Hernandez,26,maybe
32,Kathy Hernandez,82,maybe
32,Kathy Hernandez,100,yes
32,Kathy Hernandez,151,yes
32,Kathy Hernandez,276,yes
32,Kathy Hernandez,299,yes
32,Kathy Hernandez,316,maybe
32,Kathy Hernandez,325,yes
32,Kathy Hernandez,328,yes
32,Kathy Hernandez,338,maybe
32,Kathy Hernandez,345,maybe
32,Kathy Hernandez,434,maybe
32,Kathy Hernandez,489,yes
32,Kathy Hernandez,600,maybe
32,Kathy Hernandez,648,maybe
32,Kathy Hernandez,747,yes
32,Kathy Hernandez,758,yes
32,Kathy Hernandez,865,maybe
32,Kathy Hernandez,866,maybe
32,Kathy Hernandez,956,yes
32,Kathy Hernandez,958,maybe
33,Christopher Hendrix,194,maybe
33,Christopher Hendrix,250,yes
33,Christopher Hendrix,270,yes
33,Christopher Hendrix,410,maybe
33,Christopher Hendrix,466,yes
33,Christopher Hendrix,476,maybe
33,Christopher Hendrix,558,maybe
33,Christopher Hendrix,579,maybe
33,Christopher Hendrix,589,maybe
33,Christopher Hendrix,613,yes
33,Christopher Hendrix,674,yes
33,Christopher Hendrix,729,maybe
33,Christopher Hendrix,748,maybe
33,Christopher Hendrix,826,yes
33,Christopher Hendrix,844,yes
33,Christopher Hendrix,865,yes
33,Christopher Hendrix,973,yes
33,Christopher Hendrix,995,maybe
34,Jennifer Henderson,8,maybe
34,Jennifer Henderson,30,maybe
34,Jennifer Henderson,86,maybe
34,Jennifer Henderson,93,maybe
34,Jennifer Henderson,112,yes
34,Jennifer Henderson,211,yes
34,Jennifer Henderson,253,yes
34,Jennifer Henderson,362,maybe
34,Jennifer Henderson,406,maybe
34,Jennifer Henderson,515,maybe
34,Jennifer Henderson,531,yes
34,Jennifer Henderson,585,maybe
34,Jennifer Henderson,651,yes
34,Jennifer Henderson,725,yes
34,Jennifer Henderson,745,yes
34,Jennifer Henderson,829,maybe
34,Jennifer Henderson,866,yes
34,Jennifer Henderson,886,maybe
34,Jennifer Henderson,895,maybe
34,Jennifer Henderson,908,yes
34,Jennifer Henderson,919,maybe
34,Jennifer Henderson,969,maybe
34,Jennifer Henderson,981,yes
34,Jennifer Henderson,994,maybe
35,Mary Wilson,24,yes
35,Mary Wilson,90,maybe
35,Mary Wilson,159,yes
35,Mary Wilson,192,maybe
35,Mary Wilson,212,yes
35,Mary Wilson,252,maybe
35,Mary Wilson,360,yes
35,Mary Wilson,434,maybe
35,Mary Wilson,468,maybe
35,Mary Wilson,494,maybe
35,Mary Wilson,585,yes
35,Mary Wilson,738,yes
35,Mary Wilson,854,maybe
35,Mary Wilson,856,yes
35,Mary Wilson,887,maybe
35,Mary Wilson,912,yes
35,Mary Wilson,965,yes
35,Mary Wilson,994,maybe
1851,Danielle Stewart,73,yes
1851,Danielle Stewart,376,maybe
1851,Danielle Stewart,443,maybe
1851,Danielle Stewart,444,yes
1851,Danielle Stewart,459,yes
1851,Danielle Stewart,629,yes
1851,Danielle Stewart,678,maybe
1851,Danielle Stewart,755,yes
1851,Danielle Stewart,760,yes
1851,Danielle Stewart,804,maybe
1851,Danielle Stewart,823,maybe
1851,Danielle Stewart,912,maybe
1851,Danielle Stewart,998,yes
37,James Hall,5,maybe
37,James Hall,212,maybe
37,James Hall,237,maybe
37,James Hall,289,maybe
37,James Hall,318,yes
37,James Hall,347,maybe
37,James Hall,358,maybe
37,James Hall,370,yes
37,James Hall,469,maybe
37,James Hall,534,maybe
37,James Hall,547,yes
37,James Hall,550,yes
37,James Hall,570,yes
37,James Hall,738,maybe
37,James Hall,792,maybe
37,James Hall,829,yes
37,James Hall,833,yes
37,James Hall,849,maybe
37,James Hall,928,maybe
37,James Hall,934,yes
37,James Hall,941,yes
37,James Hall,971,yes
37,James Hall,1000,maybe
38,Margaret Jackson,182,maybe
38,Margaret Jackson,216,maybe
38,Margaret Jackson,220,yes
38,Margaret Jackson,279,yes
38,Margaret Jackson,344,maybe
38,Margaret Jackson,404,maybe
38,Margaret Jackson,437,maybe
38,Margaret Jackson,511,yes
38,Margaret Jackson,548,maybe
38,Margaret Jackson,605,maybe
38,Margaret Jackson,621,maybe
38,Margaret Jackson,861,maybe
38,Margaret Jackson,938,maybe
38,Margaret Jackson,952,yes
720,Justin Schroeder,86,yes
720,Justin Schroeder,177,maybe
720,Justin Schroeder,209,yes
720,Justin Schroeder,274,maybe
720,Justin Schroeder,307,maybe
720,Justin Schroeder,408,maybe
720,Justin Schroeder,430,maybe
720,Justin Schroeder,455,maybe
720,Justin Schroeder,503,yes
720,Justin Schroeder,689,maybe
720,Justin Schroeder,761,maybe
720,Justin Schroeder,779,maybe
720,Justin Schroeder,931,yes
40,Kyle Perry,87,maybe
40,Kyle Perry,90,maybe
40,Kyle Perry,106,maybe
40,Kyle Perry,107,maybe
40,Kyle Perry,108,yes
40,Kyle Perry,229,maybe
40,Kyle Perry,252,yes
40,Kyle Perry,284,maybe
40,Kyle Perry,288,maybe
40,Kyle Perry,395,maybe
40,Kyle Perry,445,maybe
40,Kyle Perry,622,maybe
40,Kyle Perry,654,maybe
40,Kyle Perry,667,yes
40,Kyle Perry,748,maybe
40,Kyle Perry,961,maybe
40,Kyle Perry,988,yes
1070,Deborah Lewis,96,yes
1070,Deborah Lewis,112,maybe
1070,Deborah Lewis,185,yes
1070,Deborah Lewis,247,yes
1070,Deborah Lewis,258,maybe
1070,Deborah Lewis,264,maybe
1070,Deborah Lewis,347,maybe
1070,Deborah Lewis,418,yes
1070,Deborah Lewis,420,maybe
1070,Deborah Lewis,449,maybe
1070,Deborah Lewis,460,maybe
1070,Deborah Lewis,504,maybe
1070,Deborah Lewis,529,maybe
1070,Deborah Lewis,546,maybe
1070,Deborah Lewis,549,maybe
1070,Deborah Lewis,564,yes
1070,Deborah Lewis,599,maybe
1070,Deborah Lewis,665,maybe
1070,Deborah Lewis,742,yes
1070,Deborah Lewis,814,yes
1070,Deborah Lewis,867,yes
1070,Deborah Lewis,920,maybe
1070,Deborah Lewis,985,maybe
1070,Deborah Lewis,993,yes
42,Katie Cohen,151,yes
42,Katie Cohen,170,maybe
42,Katie Cohen,182,maybe
42,Katie Cohen,195,maybe
42,Katie Cohen,227,maybe
42,Katie Cohen,238,yes
42,Katie Cohen,250,maybe
42,Katie Cohen,252,yes
42,Katie Cohen,291,yes
42,Katie Cohen,322,yes
42,Katie Cohen,369,maybe
42,Katie Cohen,380,yes
42,Katie Cohen,464,yes
42,Katie Cohen,474,maybe
42,Katie Cohen,514,maybe
42,Katie Cohen,648,maybe
42,Katie Cohen,697,maybe
42,Katie Cohen,736,yes
42,Katie Cohen,761,maybe
42,Katie Cohen,819,maybe
42,Katie Cohen,891,yes
42,Katie Cohen,927,yes
43,Anthony Collins,41,yes
43,Anthony Collins,233,yes
43,Anthony Collins,378,maybe
43,Anthony Collins,467,yes
43,Anthony Collins,470,yes
43,Anthony Collins,492,yes
43,Anthony Collins,501,yes
43,Anthony Collins,581,maybe
43,Anthony Collins,591,maybe
43,Anthony Collins,704,maybe
43,Anthony Collins,735,maybe
43,Anthony Collins,796,yes
43,Anthony Collins,797,yes
43,Anthony Collins,808,yes
43,Anthony Collins,810,maybe
43,Anthony Collins,882,maybe
43,Anthony Collins,959,maybe
44,Renee Dudley,12,yes
44,Renee Dudley,69,maybe
44,Renee Dudley,222,yes
44,Renee Dudley,232,maybe
44,Renee Dudley,233,maybe
44,Renee Dudley,314,maybe
44,Renee Dudley,333,maybe
44,Renee Dudley,418,yes
44,Renee Dudley,535,yes
44,Renee Dudley,619,maybe
44,Renee Dudley,641,yes
44,Renee Dudley,673,maybe
44,Renee Dudley,765,yes
44,Renee Dudley,770,maybe
44,Renee Dudley,785,yes
44,Renee Dudley,829,yes
44,Renee Dudley,834,yes
44,Renee Dudley,847,yes
44,Renee Dudley,874,yes
44,Renee Dudley,882,yes
44,Renee Dudley,892,maybe
44,Renee Dudley,960,maybe
45,Michael Barry,72,yes
45,Michael Barry,116,maybe
45,Michael Barry,121,yes
45,Michael Barry,127,yes
45,Michael Barry,179,maybe
45,Michael Barry,200,maybe
45,Michael Barry,298,maybe
45,Michael Barry,336,maybe
45,Michael Barry,341,maybe
45,Michael Barry,412,maybe
45,Michael Barry,414,maybe
45,Michael Barry,445,maybe
45,Michael Barry,602,maybe
