member #,member name,topic
8,Melissa Bishop,Local Search
8,Melissa Bishop,Aerospace
8,Melissa Bishop,Search in Planning and Scheduling
9,Colton Stone,Other Topics in Robotics
9,Colton Stone,Optimisation in Machine Learning
9,Colton Stone,Explainability and Interpretability in Machine Learning
9,Colton Stone,Databases
9,Colton Stone,Meta-Learning
9,Colton Stone,Image and Video Retrieval
9,Colton Stone,Syntax and Parsing
9,Colton Stone,Explainability (outside Machine Learning)
9,Colton Stone,Computer Games
9,Colton Stone,"Model Adaptation, Compression, and Distillation"
10,Melissa Matthews,Text Mining
10,Melissa Matthews,Genetic Algorithms
10,Melissa Matthews,Inductive and Co-Inductive Logic Programming
10,Melissa Matthews,Other Topics in Computer Vision
10,Melissa Matthews,Unsupervised and Self-Supervised Learning
10,Melissa Matthews,Ontologies
10,Melissa Matthews,Scalability of Machine Learning Systems
10,Melissa Matthews,Privacy in Data Mining
10,Melissa Matthews,Economics and Finance
10,Melissa Matthews,Graph-Based Machine Learning
11,Mark Garcia,Other Topics in Natural Language Processing
11,Mark Garcia,Non-Probabilistic Models of Uncertainty
11,Mark Garcia,Case-Based Reasoning
11,Mark Garcia,Computational Social Choice
11,Mark Garcia,"Segmentation, Grouping, and Shape Analysis"
12,Susan Wilson,Economics and Finance
12,Susan Wilson,Search in Planning and Scheduling
12,Susan Wilson,Societal Impacts of AI
12,Susan Wilson,Inductive and Co-Inductive Logic Programming
12,Susan Wilson,Imitation Learning and Inverse Reinforcement Learning
12,Susan Wilson,Quantum Machine Learning
12,Susan Wilson,Active Learning
12,Susan Wilson,Robot Planning and Scheduling
12,Susan Wilson,Federated Learning
12,Susan Wilson,Other Topics in Multiagent Systems
13,Cory Ware,Routing
13,Cory Ware,Vision and Language
13,Cory Ware,Morality and Value-Based AI
13,Cory Ware,Explainability (outside Machine Learning)
13,Cory Ware,Text Mining
13,Cory Ware,Abductive Reasoning and Diagnosis
13,Cory Ware,Mining Codebase and Software Repositories
13,Cory Ware,Machine Translation
14,Brandon Reynolds,Knowledge Graphs and Open Linked Data
14,Brandon Reynolds,Explainability (outside Machine Learning)
14,Brandon Reynolds,"Continual, Online, and Real-Time Planning"
14,Brandon Reynolds,Discourse and Pragmatics
14,Brandon Reynolds,Stochastic Optimisation
14,Brandon Reynolds,"Segmentation, Grouping, and Shape Analysis"
14,Brandon Reynolds,Algorithmic Game Theory
15,Timothy Edwards,Other Topics in Robotics
15,Timothy Edwards,3D Computer Vision
15,Timothy Edwards,Learning Human Values and Preferences
15,Timothy Edwards,Humanities
15,Timothy Edwards,Multi-Class/Multi-Label Learning and Extreme Classification
15,Timothy Edwards,Personalisation and User Modelling
16,Clifford Medina,Ontologies
16,Clifford Medina,Robot Manipulation
16,Clifford Medina,Other Topics in Robotics
16,Clifford Medina,"Geometric, Spatial, and Temporal Reasoning"
16,Clifford Medina,Language and Vision
16,Clifford Medina,Evaluation and Analysis in Machine Learning
16,Clifford Medina,Planning and Decision Support for Human-Machine Teams
16,Clifford Medina,Constraint Optimisation
17,William Gibson,Adversarial Attacks on NLP Systems
17,William Gibson,Classical Planning
17,William Gibson,Societal Impacts of AI
17,William Gibson,Kernel Methods
17,William Gibson,Knowledge Compilation
18,Maria Caldwell,Human-Robot/Agent Interaction
18,Maria Caldwell,Transportation
18,Maria Caldwell,Other Topics in Planning and Search
18,Maria Caldwell,"Conformant, Contingent, and Adversarial Planning"
18,Maria Caldwell,Anomaly/Outlier Detection
18,Maria Caldwell,Economic Paradigms
18,Maria Caldwell,Object Detection and Categorisation
18,Maria Caldwell,Other Topics in Machine Learning
19,Robin Werner,Privacy in Data Mining
19,Robin Werner,Search and Machine Learning
19,Robin Werner,Environmental Impacts of AI
19,Robin Werner,Logic Programming
19,Robin Werner,Speech and Multimodality
19,Robin Werner,Other Multidisciplinary Topics
19,Robin Werner,"Other Topics Related to Fairness, Ethics, or Trust"
20,Tara Salazar,Adversarial Search
20,Tara Salazar,Bayesian Learning
20,Tara Salazar,Causality
20,Tara Salazar,Image and Video Generation
20,Tara Salazar,Multimodal Learning
20,Tara Salazar,Scene Analysis and Understanding
21,Mr. Colin,Multi-Instance/Multi-View Learning
21,Mr. Colin,NLP Resources and Evaluation
21,Mr. Colin,Consciousness and Philosophy of Mind
21,Mr. Colin,Summarisation
21,Mr. Colin,Relational Learning
21,Mr. Colin,Learning Preferences or Rankings
21,Mr. Colin,User Experience and Usability
21,Mr. Colin,Knowledge Acquisition
21,Mr. Colin,Societal Impacts of AI
22,Michael Smith,Multiagent Planning
22,Michael Smith,Efficient Methods for Machine Learning
22,Michael Smith,Activity and Plan Recognition
22,Michael Smith,Human-Aware Planning
22,Michael Smith,Bayesian Networks
22,Michael Smith,Constraint Programming
22,Michael Smith,Rule Mining and Pattern Mining
22,Michael Smith,Physical Sciences
22,Michael Smith,Machine Learning for Computer Vision
23,Tiffany Haney,"Mining Visual, Multimedia, and Multimodal Data"
23,Tiffany Haney,Distributed CSP and Optimisation
23,Tiffany Haney,"Human-Computer Teamwork, Team Formation, and Collaboration"
23,Tiffany Haney,Data Stream Mining
23,Tiffany Haney,Intelligent Database Systems
23,Tiffany Haney,Dynamic Programming
23,Tiffany Haney,Social Networks
23,Tiffany Haney,Digital Democracy
23,Tiffany Haney,Argumentation
23,Tiffany Haney,"Plan Execution, Monitoring, and Repair"
24,Christopher Hughes,Humanities
24,Christopher Hughes,Kernel Methods
24,Christopher Hughes,Physical Sciences
24,Christopher Hughes,Explainability (outside Machine Learning)
24,Christopher Hughes,Knowledge Acquisition
24,Christopher Hughes,Language and Vision
24,Christopher Hughes,Behaviour Learning and Control for Robotics
25,Mrs. Elizabeth,Behavioural Game Theory
25,Mrs. Elizabeth,Constraint Optimisation
25,Mrs. Elizabeth,Commonsense Reasoning
25,Mrs. Elizabeth,Genetic Algorithms
25,Mrs. Elizabeth,Bayesian Networks
25,Mrs. Elizabeth,Multi-Instance/Multi-View Learning
25,Mrs. Elizabeth,Optimisation in Machine Learning
25,Mrs. Elizabeth,Scheduling
25,Mrs. Elizabeth,Machine Learning for NLP
26,Michael Pham,Probabilistic Programming
26,Michael Pham,Machine Learning for Computer Vision
26,Michael Pham,Sports
26,Michael Pham,Solvers and Tools
26,Michael Pham,Human-Aware Planning and Behaviour Prediction
26,Michael Pham,Ontologies
26,Michael Pham,AI for Social Good
26,Michael Pham,Planning and Machine Learning
26,Michael Pham,Multimodal Learning
27,Jacqueline Green,Knowledge Compilation
27,Jacqueline Green,Global Constraints
27,Jacqueline Green,Environmental Impacts of AI
27,Jacqueline Green,User Experience and Usability
27,Jacqueline Green,Human-Aware Planning
27,Jacqueline Green,Life Sciences
27,Jacqueline Green,Data Stream Mining
28,Steven Hudson,Answer Set Programming
28,Steven Hudson,Computer-Aided Education
28,Steven Hudson,Preferences
28,Steven Hudson,Responsible AI
28,Steven Hudson,Web and Network Science
28,Steven Hudson,Privacy-Aware Machine Learning
29,Erica Smith,Image and Video Generation
29,Erica Smith,Fairness and Bias
29,Erica Smith,"Model Adaptation, Compression, and Distillation"
29,Erica Smith,Planning under Uncertainty
29,Erica Smith,Lifelong and Continual Learning
30,Raymond Clark,Aerospace
30,Raymond Clark,Planning and Decision Support for Human-Machine Teams
30,Raymond Clark,Summarisation
30,Raymond Clark,Abductive Reasoning and Diagnosis
30,Raymond Clark,Speech and Multimodality
30,Raymond Clark,Human Computation and Crowdsourcing
31,Daniel Williams,Federated Learning
31,Daniel Williams,Big Data and Scalability
31,Daniel Williams,Automated Learning and Hyperparameter Tuning
31,Daniel Williams,Other Topics in Data Mining
31,Daniel Williams,Digital Democracy
31,Daniel Williams,Fair Division
31,Daniel Williams,Knowledge Graphs and Open Linked Data
31,Daniel Williams,Image and Video Generation
31,Daniel Williams,Intelligent Virtual Agents
31,Daniel Williams,Web Search
32,Kathy Hernandez,Stochastic Optimisation
32,Kathy Hernandez,Logic Foundations
32,Kathy Hernandez,"Communication, Coordination, and Collaboration"
32,Kathy Hernandez,Explainability in Computer Vision
32,Kathy Hernandez,Human-Computer Interaction
32,Kathy Hernandez,Human-Machine Interaction Techniques and Devices
32,Kathy Hernandez,Adversarial Attacks on NLP Systems
33,Christopher Hendrix,Planning and Machine Learning
33,Christopher Hendrix,Deep Generative Models and Auto-Encoders
33,Christopher Hendrix,Knowledge Representation Languages
33,Christopher Hendrix,Recommender Systems
33,Christopher Hendrix,Education
33,Christopher Hendrix,Reasoning about Knowledge and Beliefs
33,Christopher Hendrix,Routing
33,Christopher Hendrix,Other Topics in Humans and AI
33,Christopher Hendrix,Stochastic Models and Probabilistic Inference
34,Jennifer Henderson,Web Search
34,Jennifer Henderson,AI for Social Good
34,Jennifer Henderson,Neuro-Symbolic Methods
34,Jennifer Henderson,Stochastic Optimisation
34,Jennifer Henderson,Ontology Induction from Text
34,Jennifer Henderson,Learning Human Values and Preferences
34,Jennifer Henderson,Other Topics in Computer Vision
35,Mary Wilson,Answer Set Programming
35,Mary Wilson,Adversarial Attacks on NLP Systems
35,Mary Wilson,Big Data and Scalability
35,Mary Wilson,Explainability (outside Machine Learning)
35,Mary Wilson,Other Topics in Computer Vision
35,Mary Wilson,Scalability of Machine Learning Systems
35,Mary Wilson,Solvers and Tools
35,Mary Wilson,Biometrics
35,Mary Wilson,Reinforcement Learning with Human Feedback
36,Danielle Stewart,Voting Theory
36,Danielle Stewart,Vision and Language
36,Danielle Stewart,Knowledge Graphs and Open Linked Data
36,Danielle Stewart,Swarm Intelligence
36,Danielle Stewart,Graph-Based Machine Learning
37,James Hall,Databases
37,James Hall,"Segmentation, Grouping, and Shape Analysis"
37,James Hall,Swarm Intelligence
37,James Hall,Planning under Uncertainty
37,James Hall,Object Detection and Categorisation
38,Margaret Jackson,"Geometric, Spatial, and Temporal Reasoning"
38,Margaret Jackson,Logic Programming
38,Margaret Jackson,Scheduling
38,Margaret Jackson,Scene Analysis and Understanding
38,Margaret Jackson,Algorithmic Game Theory
38,Margaret Jackson,Personalisation and User Modelling
38,Margaret Jackson,Dimensionality Reduction/Feature Selection
38,Margaret Jackson,Web and Network Science
39,Justin Schroeder,Representation Learning
39,Justin Schroeder,Information Retrieval
39,Justin Schroeder,Reinforcement Learning with Human Feedback
39,Justin Schroeder,Graph-Based Machine Learning
39,Justin Schroeder,Classification and Regression
39,Justin Schroeder,Summarisation
39,Justin Schroeder,Semantic Web
39,Justin Schroeder,Deep Neural Network Algorithms
40,Kyle Perry,Imitation Learning and Inverse Reinforcement Learning
40,Kyle Perry,Recommender Systems
40,Kyle Perry,Computer Games
40,Kyle Perry,Scene Analysis and Understanding
40,Kyle Perry,Distributed Problem Solving
40,Kyle Perry,Privacy in Data Mining
40,Kyle Perry,"Localisation, Mapping, and Navigation"
40,Kyle Perry,Sequential Decision Making
40,Kyle Perry,Social Sciences
41,Deborah Lewis,User Modelling and Personalisation
41,Deborah Lewis,Philosophy and Ethics
41,Deborah Lewis,Heuristic Search
41,Deborah Lewis,Explainability and Interpretability in Machine Learning
41,Deborah Lewis,Cognitive Science
41,Deborah Lewis,Probabilistic Programming
41,Deborah Lewis,Other Topics in Constraints and Satisfiability
41,Deborah Lewis,Image and Video Retrieval
41,Deborah Lewis,Computer Games
41,Deborah Lewis,Human-Computer Interaction
42,Katie Cohen,Privacy and Security
42,Katie Cohen,Morality and Value-Based AI
42,Katie Cohen,Agent Theories and Models
42,Katie Cohen,Text Mining
42,Katie Cohen,"Belief Revision, Update, and Merging"
43,Anthony Collins,Education
43,Anthony Collins,Human-Machine Interaction Techniques and Devices
43,Anthony Collins,Accountability
43,Anthony Collins,Databases
43,Anthony Collins,Distributed CSP and Optimisation
44,Renee Dudley,Other Topics in Multiagent Systems
44,Renee Dudley,Graph-Based Machine Learning
44,Renee Dudley,Solvers and Tools
44,Renee Dudley,Cognitive Robotics
44,Renee Dudley,Argumentation
44,Renee Dudley,Imitation Learning and Inverse Reinforcement Learning
45,Michael Barry,Adversarial Search
45,Michael Barry,Search in Planning and Scheduling
45,Michael Barry,Distributed CSP and Optimisation
45,Michael Barry,Swarm Intelligence
45,Michael Barry,Neuroscience
45,Michael Barry,Other Topics in Uncertainty in AI
45,Michael Barry,Semi-Supervised Learning
45,Michael Barry,Evolutionary Learning
45,Michael Barry,Multi-Class/Multi-Label Learning and Extreme Classification
45,Michael Barry,Morality and Value-Based AI
46,Veronica Ray,Video Understanding and Activity Analysis
46,Veronica Ray,Classical Planning
46,Veronica Ray,Distributed CSP and Optimisation
46,Veronica Ray,Semantic Web
46,Veronica Ray,Arts and Creativity
46,Veronica Ray,Environmental Impacts of AI
46,Veronica Ray,Evaluation and Analysis in Machine Learning
46,Veronica Ray,Multi-Class/Multi-Label Learning and Extreme Classification
46,Veronica Ray,Personalisation and User Modelling
46,Veronica Ray,Adversarial Learning and Robustness
47,Ryan Woods,Multiagent Planning
47,Ryan Woods,Search and Machine Learning
47,Ryan Woods,Deep Neural Network Architectures
47,Ryan Woods,Mobility
47,Ryan Woods,Mixed Discrete and Continuous Optimisation
47,Ryan Woods,Social Sciences
47,Ryan Woods,"Energy, Environment, and Sustainability"
48,Daniel Dunn,Routing
48,Daniel Dunn,Distributed Machine Learning
48,Daniel Dunn,Deep Neural Network Architectures
48,Daniel Dunn,AI for Social Good
48,Daniel Dunn,Consciousness and Philosophy of Mind
48,Daniel Dunn,Privacy in Data Mining
48,Daniel Dunn,"Human-Computer Teamwork, Team Formation, and Collaboration"
48,Daniel Dunn,"Face, Gesture, and Pose Recognition"
48,Daniel Dunn,Probabilistic Modelling
48,Daniel Dunn,Markov Decision Processes
49,April Reyes,"Model Adaptation, Compression, and Distillation"
49,April Reyes,Humanities
49,April Reyes,Deep Generative Models and Auto-Encoders
49,April Reyes,Social Networks
49,April Reyes,"Localisation, Mapping, and Navigation"
50,Patricia Archer,Data Compression
50,Patricia Archer,Bayesian Networks
50,Patricia Archer,Trust
50,Patricia Archer,"Localisation, Mapping, and Navigation"
50,Patricia Archer,Distributed CSP and Optimisation
50,Patricia Archer,Standards and Certification
50,Patricia Archer,Social Networks
51,John Nguyen,Biometrics
51,John Nguyen,Morality and Value-Based AI
51,John Nguyen,Mining Spatial and Temporal Data
51,John Nguyen,Blockchain Technology
51,John Nguyen,Anomaly/Outlier Detection
51,John Nguyen,Agent-Based Simulation and Complex Systems
51,John Nguyen,Qualitative Reasoning
51,John Nguyen,Heuristic Search
51,John Nguyen,Answer Set Programming
52,Barbara Diaz,Activity and Plan Recognition
52,Barbara Diaz,Graph-Based Machine Learning
52,Barbara Diaz,Deep Neural Network Algorithms
52,Barbara Diaz,Reinforcement Learning with Human Feedback
52,Barbara Diaz,Large Language Models
52,Barbara Diaz,Scalability of Machine Learning Systems
52,Barbara Diaz,Deep Learning Theory
52,Barbara Diaz,Machine Ethics
52,Barbara Diaz,Satisfiability
53,Robert Hall,Transparency
53,Robert Hall,Global Constraints
53,Robert Hall,Clustering
53,Robert Hall,Machine Learning for Computer Vision
53,Robert Hall,Answer Set Programming
53,Robert Hall,Deep Neural Network Algorithms
53,Robert Hall,Mining Spatial and Temporal Data
53,Robert Hall,Lexical Semantics
53,Robert Hall,Environmental Impacts of AI
53,Robert Hall,Optimisation in Machine Learning
54,Kimberly Martin,Mobility
54,Kimberly Martin,Logic Foundations
54,Kimberly Martin,Computational Social Choice
54,Kimberly Martin,Graph-Based Machine Learning
54,Kimberly Martin,Human-Robot/Agent Interaction
54,Kimberly Martin,Efficient Methods for Machine Learning
55,Ross Davenport,Anomaly/Outlier Detection
55,Ross Davenport,User Experience and Usability
55,Ross Davenport,Sequential Decision Making
55,Ross Davenport,Classification and Regression
55,Ross Davenport,Reinforcement Learning with Human Feedback
55,Ross Davenport,Other Topics in Knowledge Representation and Reasoning
56,Mary Price,Human Computation and Crowdsourcing
56,Mary Price,Life Sciences
56,Mary Price,Safety and Robustness
56,Mary Price,Other Topics in Data Mining
56,Mary Price,Knowledge Acquisition and Representation for Planning
56,Mary Price,Constraint Programming
56,Mary Price,Partially Observable and Unobservable Domains
56,Mary Price,Unsupervised and Self-Supervised Learning
57,Misty Vega,Knowledge Compilation
57,Misty Vega,Robot Rights
57,Misty Vega,Planning and Machine Learning
57,Misty Vega,Multimodal Learning
57,Misty Vega,Markov Decision Processes
57,Misty Vega,Text Mining
58,Bryan Scott,Robot Manipulation
58,Bryan Scott,Aerospace
58,Bryan Scott,Cognitive Robotics
58,Bryan Scott,Meta-Learning
58,Bryan Scott,Mining Semi-Structured Data
58,Bryan Scott,Machine Learning for Robotics
59,Kristen Ward,Autonomous Driving
59,Kristen Ward,Web and Network Science
59,Kristen Ward,Explainability in Computer Vision
59,Kristen Ward,Databases
59,Kristen Ward,Distributed CSP and Optimisation
59,Kristen Ward,Machine Translation
59,Kristen Ward,Summarisation
59,Kristen Ward,Lexical Semantics
59,Kristen Ward,Evaluation and Analysis in Machine Learning
60,Sara Rowe,Humanities
60,Sara Rowe,Human-Robot/Agent Interaction
60,Sara Rowe,Multimodal Learning
60,Sara Rowe,Federated Learning
60,Sara Rowe,Behavioural Game Theory
60,Sara Rowe,"AI in Law, Justice, Regulation, and Governance"
60,Sara Rowe,Medical and Biological Imaging
60,Sara Rowe,Other Topics in Knowledge Representation and Reasoning
60,Sara Rowe,Search and Machine Learning
60,Sara Rowe,Other Topics in Humans and AI
61,Mark Williams,"Continual, Online, and Real-Time Planning"
61,Mark Williams,Computer Games
61,Mark Williams,Adversarial Attacks on NLP Systems
61,Mark Williams,Explainability and Interpretability in Machine Learning
61,Mark Williams,Societal Impacts of AI
61,Mark Williams,Knowledge Compilation
61,Mark Williams,Ontologies
61,Mark Williams,Discourse and Pragmatics
61,Mark Williams,"Geometric, Spatial, and Temporal Reasoning"
61,Mark Williams,Cognitive Modelling
62,Yvette Byrd,Learning Preferences or Rankings
62,Yvette Byrd,Sentence-Level Semantics and Textual Inference
62,Yvette Byrd,"Linguistic Theories, Cognitive Modelling, and Psycholinguistics"
62,Yvette Byrd,Commonsense Reasoning
62,Yvette Byrd,Data Compression
62,Yvette Byrd,Quantum Machine Learning
62,Yvette Byrd,Fair Division
62,Yvette Byrd,Societal Impacts of AI
62,Yvette Byrd,Non-Monotonic Reasoning
62,Yvette Byrd,Inductive and Co-Inductive Logic Programming
63,Mrs. Gail,Machine Ethics
63,Mrs. Gail,Databases
63,Mrs. Gail,Machine Learning for NLP
63,Mrs. Gail,Routing
63,Mrs. Gail,Object Detection and Categorisation
64,Kelly Banks,Evaluation and Analysis in Machine Learning
64,Kelly Banks,Natural Language Generation
64,Kelly Banks,Other Topics in Knowledge Representation and Reasoning
64,Kelly Banks,Explainability in Computer Vision
64,Kelly Banks,Bayesian Networks
64,Kelly Banks,Information Retrieval
64,Kelly Banks,Scene Analysis and Understanding
64,Kelly Banks,Autonomous Driving
64,Kelly Banks,Unsupervised and Self-Supervised Learning
65,James Lowe,Interpretability and Analysis of NLP Models
65,James Lowe,Computer Games
65,James Lowe,Voting Theory
65,James Lowe,Swarm Intelligence
65,James Lowe,"Model Adaptation, Compression, and Distillation"
65,James Lowe,Mining Semi-Structured Data
65,James Lowe,Constraint Satisfaction
65,James Lowe,Sports
65,James Lowe,Evolutionary Learning
65,James Lowe,Reasoning about Action and Change
66,Eric Benitez,Information Retrieval
66,Eric Benitez,Robot Rights
66,Eric Benitez,Knowledge Graphs and Open Linked Data
66,Eric Benitez,Argumentation
66,Eric Benitez,Learning Preferences or Rankings
66,Eric Benitez,Human-Aware Planning and Behaviour Prediction
66,Eric Benitez,Computer Vision Theory
67,Meagan Ray,Local Search
67,Meagan Ray,Adversarial Search
67,Meagan Ray,Preferences
67,Meagan Ray,Planning under Uncertainty
67,Meagan Ray,Approximate Inference
67,Meagan Ray,Environmental Impacts of AI
67,Meagan Ray,Evaluation and Analysis in Machine Learning
67,Meagan Ray,Mining Semi-Structured Data
67,Meagan Ray,Semi-Supervised Learning
68,Rachel Weber,Human-Aware Planning
68,Rachel Weber,Artificial Life
68,Rachel Weber,"Plan Execution, Monitoring, and Repair"
68,Rachel Weber,Dynamic Programming
68,Rachel Weber,Autonomous Driving
68,Rachel Weber,Satisfiability
69,Jacqueline Campbell,Machine Learning for NLP
69,Jacqueline Campbell,Safety and Robustness
69,Jacqueline Campbell,NLP Resources and Evaluation
69,Jacqueline Campbell,Other Topics in Computer Vision
69,Jacqueline Campbell,"Model Adaptation, Compression, and Distillation"
69,Jacqueline Campbell,Representation Learning
69,Jacqueline Campbell,Distributed Machine Learning
69,Jacqueline Campbell,Swarm Intelligence
69,Jacqueline Campbell,Language and Vision
70,Krista Lee,Interpretability and Analysis of NLP Models
70,Krista Lee,"Communication, Coordination, and Collaboration"
70,Krista Lee,Sports
70,Krista Lee,Causal Learning
70,Krista Lee,Other Topics in Natural Language Processing
70,Krista Lee,Mixed Discrete/Continuous Planning
71,Ruben Kaiser,Data Stream Mining
71,Ruben Kaiser,Scalability of Machine Learning Systems
71,Ruben Kaiser,AI for Social Good
71,Ruben Kaiser,Qualitative Reasoning
71,Ruben Kaiser,Distributed CSP and Optimisation
72,Michael Craig,Graph-Based Machine Learning
72,Michael Craig,Natural Language Generation
72,Michael Craig,Standards and Certification
72,Michael Craig,"Communication, Coordination, and Collaboration"
72,Michael Craig,"Continual, Online, and Real-Time Planning"
73,Mindy Lawson,"Plan Execution, Monitoring, and Repair"
73,Mindy Lawson,Ontologies
73,Mindy Lawson,Web Search
73,Mindy Lawson,Human-Aware Planning
73,Mindy Lawson,Knowledge Acquisition and Representation for Planning
73,Mindy Lawson,Anomaly/Outlier Detection
73,Mindy Lawson,Standards and Certification
73,Mindy Lawson,Behavioural Game Theory
73,Mindy Lawson,Machine Translation
74,Michael Howell,Classical Planning
74,Michael Howell,Motion and Tracking
74,Michael Howell,Reinforcement Learning Algorithms
74,Michael Howell,Learning Theory
74,Michael Howell,Automated Learning and Hyperparameter Tuning
74,Michael Howell,Federated Learning
74,Michael Howell,Information Retrieval
75,Jennifer Garcia,Data Compression
75,Jennifer Garcia,Dynamic Programming
75,Jennifer Garcia,Language Grounding
75,Jennifer Garcia,Fairness and Bias
75,Jennifer Garcia,Probabilistic Programming
75,Jennifer Garcia,Artificial Life
76,Brittney Wilkinson,Human-Aware Planning and Behaviour Prediction
76,Brittney Wilkinson,Time-Series and Data Streams
76,Brittney Wilkinson,Other Topics in Multiagent Systems
76,Brittney Wilkinson,Fuzzy Sets and Systems
76,Brittney Wilkinson,Optimisation for Robotics
76,Brittney Wilkinson,Syntax and Parsing
76,Brittney Wilkinson,Abductive Reasoning and Diagnosis
76,Brittney Wilkinson,Other Topics in Robotics
77,Gregory Garcia,Online Learning and Bandits
77,Gregory Garcia,Explainability in Computer Vision
77,Gregory Garcia,Human-Aware Planning and Behaviour Prediction
77,Gregory Garcia,Logic Programming
77,Gregory Garcia,Automated Learning and Hyperparameter Tuning
77,Gregory Garcia,Mining Spatial and Temporal Data
77,Gregory Garcia,Internet of Things
78,Nicholas Doyle,Arts and Creativity
78,Nicholas Doyle,Knowledge Acquisition
78,Nicholas Doyle,Digital Democracy
78,Nicholas Doyle,Engineering Multiagent Systems
78,Nicholas Doyle,Scene Analysis and Understanding
78,Nicholas Doyle,Object Detection and Categorisation
78,Nicholas Doyle,"Constraints, Data Mining, and Machine Learning"
78,Nicholas Doyle,Distributed Problem Solving
79,Michael Hunter,Neuroscience
79,Michael Hunter,Mixed Discrete/Continuous Planning
79,Michael Hunter,Graphical Models
79,Michael Hunter,Algorithmic Game Theory
79,Michael Hunter,Artificial Life
79,Michael Hunter,Genetic Algorithms
79,Michael Hunter,Vision and Language
79,Michael Hunter,Kernel Methods
80,Adam Chan,Planning and Decision Support for Human-Machine Teams
80,Adam Chan,Markov Decision Processes
80,Adam Chan,"Sentiment Analysis, Stylistic Analysis, and Argument Mining"
80,Adam Chan,Learning Theory
80,Adam Chan,Privacy in Data Mining
80,Adam Chan,Trust
80,Adam Chan,Argumentation
80,Adam Chan,Privacy and Security
81,Charles Chavez,Optimisation for Robotics
81,Charles Chavez,Fuzzy Sets and Systems
81,Charles Chavez,Quantum Computing
81,Charles Chavez,Web and Network Science
81,Charles Chavez,Conversational AI and Dialogue Systems
81,Charles Chavez,"Belief Revision, Update, and Merging"
82,Stephen Martinez,Motion and Tracking
82,Stephen Martinez,Automated Learning and Hyperparameter Tuning
82,Stephen Martinez,Dimensionality Reduction/Feature Selection
82,Stephen Martinez,Fairness and Bias
82,Stephen Martinez,Deep Neural Network Algorithms
82,Stephen Martinez,Syntax and Parsing
82,Stephen Martinez,Learning Human Values and Preferences
82,Stephen Martinez,Human-Aware Planning
83,Annette Morris,Adversarial Attacks on CV Systems
83,Annette Morris,Deep Generative Models and Auto-Encoders
83,Annette Morris,Computer-Aided Education
83,Annette Morris,Explainability (outside Machine Learning)
83,Annette Morris,Reinforcement Learning with Human Feedback
84,Ernest Allen,Machine Translation
84,Ernest Allen,Global Constraints
84,Ernest Allen,Distributed Problem Solving
84,Ernest Allen,Data Compression
84,Ernest Allen,Responsible AI
84,Ernest Allen,Human-Robot Interaction
84,Ernest Allen,Adversarial Attacks on NLP Systems
84,Ernest Allen,Swarm Intelligence
85,Jesse Smith,Human-Machine Interaction Techniques and Devices
85,Jesse Smith,Local Search
85,Jesse Smith,Learning Preferences or Rankings
85,Jesse Smith,Quantum Machine Learning
